State_Name,Assembly_No,Year,Total_Candidates,Deposit_Lost
Tamil_Nadu,15,2009,823,745
Tripura,15,2009,19,15
Uttar_Pradesh,15,2009,1368,1155
Uttarakhand,15,2009,76,64
West_Bengal,15,2009,368,281
Andaman_&_Nicobar_Islands,14,2004,12,10
Andhra_Pradesh,14,2004,279,194
Arunachal_Pradesh,14,2004,13,9
Assam,14,2004,116,81
Bihar,14,2004,462,375
Chandigarh,14,2004,17,15
Chhattisgarh,14,2004,102,79
Dadra_&_Nagar_Haveli,14,2004,10,8
Daman_&_Diu,14,2004,3,1
Delhi,14,2004,129,115
Goa,14,2004,16,12
Gujarat,14,2004,162,110
Haryana,14,2004,160,137
Himachal_Pradesh,14,2004,23,15
Jammu_&_Kashmir,14,2004,83,70
Jharkhand,14,2004,182,152
Karnataka,14,2004,172,102
Kerala,14,2004,177,134
Lakshadweep,14,2004,4,2
Madhya_Pradesh,14,2004,294,232
Maharashtra,14,2004,412,309
Manipur,14,2004,12,6
Meghalaya,14,2004,5,1
Mizoram,14,2004,3,1
Nagaland,14,2004,5,3
Odisha,14,2004,100,57
Puducherry,14,2004,21,19
Punjab,14,2004,142,112
Rajasthan,14,2004,185,134
Sikkim,14,2004,4,2
Tamil_Nadu,14,2004,571,493
Tripura,14,2004,12,10
Uttar_Pradesh,14,2004,1138,907
Uttarakhand,14,2004,54,43
West_Bengal,14,2004,355,268
Andaman_&_Nicobar_Islands,13,1999,5,3
Andhra_Pradesh,13,1999,285,197
Arunachal_Pradesh,13,1999,6,2
Assam,13,1999,115,79
Bihar,13,1999,497,381
Chandigarh,13,1999,16,14
Dadra_&_Nagar_Haveli,13,1999,5,2
Daman_&_Diu,13,1999,4,2
Delhi,13,1999,97,82
Goa,13,1999,16,12
Gujarat,13,1999,159,107
Haryana,13,1999,114,93
Himachal_Pradesh,13,1999,22,14
Jammu_&_Kashmir,13,1999,83,68
Karnataka,13,1999,130,70
Kerala,13,1999,142,101
Lakshadweep,13,1999,4,2
Madhya_Pradesh,13,1999,344,259
Maharashtra,13,1999,261,134
Manipur,13,1999,18,13
Meghalaya,13,1999,14,10
Mizoram,13,1999,7,5
Nagaland,13,1999,5,3
Odisha,13,1999,105,63
Puducherry,13,1999,9,6
Punjab,13,1999,120,92
Rajasthan,13,1999,165,114
Sikkim,13,1999,4,2
Tamil_Nadu,13,1999,362,276
Tripura,13,1999,17,13
Uttar_Pradesh,13,1999,1208,963
West_Bengal,13,1999,309,218
Andaman_&_Nicobar_Islands,12,1998,6,3
Andhra_Pradesh,12,1998,390,288
Arunachal_Pradesh,12,1998,7,3
Assam,12,1998,101,65
Bihar,12,1998,469,342
Chandigarh,12,1998,18,16
Dadra_&_Nagar_Haveli,12,1998,4,2
Daman_&_Diu,12,1998,5,3
Delhi,12,1998,132,117
Goa,12,1998,12,5
Gujarat,12,1998,139,80
Haryana,12,1998,140,111
Himachal_Pradesh,12,1998,22,14
Jammu_&_Kashmir,12,1998,86,73
Karnataka,12,1998,200,127
Kerala,12,1998,120,80
Lakshadweep,12,1998,2,0
Madhya_Pradesh,12,1998,400,313
Maharashtra,12,1998,377,279
Manipur,12,1998,15,9
Meghalaya,12,1998,13,10
Mizoram,12,1998,6,3
Nagaland,12,1998,2,1
Odisha,12,1998,135,90
Puducherry,12,1998,9,6
Punjab,12,1998,102,75
Rajasthan,12,1998,219,165
Sikkim,12,1998,3,1
Tamil_Nadu,12,1998,296,215
Tripura,12,1998,11,7
Uttar_Pradesh,12,1998,1037,807
West_Bengal,12,1998,272,176
Andaman_&_Nicobar_Islands,11,1996,11,9
Andhra_Pradesh,11,1996,1462,1368
Arunachal_Pradesh,11,1996,10,5
Assam,11,1996,137,101
Bihar,11,1996,1448,1325
Chandigarh,11,1996,48,45
Dadra_&_Nagar_Haveli,11,1996,5,3
Daman_&_Diu,11,1996,9,7
Delhi,11,1996,523,509
Goa,11,1996,30,25
Gujarat,11,1996,577,522
Haryana,11,1996,294,267
Himachal_Pradesh,11,1996,54,46
Jammu_&_Kashmir,11,1996,110,99
Karnataka,11,1996,978,905
Kerala,11,1996,232,192
Lakshadweep,11,1996,2,0
Madhya_Pradesh,11,1996,1259,1173
Maharashtra,11,1996,1065,946
Manipur,11,1996,28,24
Meghalaya,11,1996,10,7
Mizoram,11,1996,4,1
Nagaland,11,1996,3,1
Odisha,11,1996,226,176
Puducherry,11,1996,21,19
Punjab,11,1996,259,228
Rajasthan,11,1996,677,624
Sikkim,11,1996,7,5
Tamil_Nadu,11,1996,749,665
Tripura,11,1996,20,16
Uttar_Pradesh,11,1996,3297,3062
West_Bengal,11,1996,397,313
Andaman_&_Nicobar_Islands,10,1991,5,3
Andhra_Pradesh,10,1991,609,519
Arunachal_Pradesh,10,1991,7,3
Assam,10,1991,167,135
Bihar,10,1991,1214,1096
Chandigarh,10,1991,55,52
Dadra_&_Nagar_Haveli,10,1991,5,3
Daman_&_Diu,10,1991,12,9
Delhi,10,1991,502,486
Goa,10,1991,33,28
Gujarat,10,1991,420,367
Haryana,10,1991,198,173
Himachal_Pradesh,10,1991,46,37
Karnataka,10,1991,391,317
Kerala,10,1991,179,139
Lakshadweep,10,1991,2,0
Madhya_Pradesh,10,1991,683,598
Maharashtra,10,1991,862,748
Manipur,10,1991,20,15
Meghalaya,10,1991,12,8
Mizoram,10,1991,7,4
Nagaland,10,1991,3,1
Odisha,10,1991,214,168
Puducherry,10,1991,13,11
Punjab,10,1991,81,53
Rajasthan,10,1991,526,472
Sikkim,10,1991,7,6
Tamil_Nadu,10,1991,461,379
Tripura,10,1991,17,15
Uttar_Pradesh,10,1991,1605,1393
West_Bengal,10,1991,393,301
Andaman_&_Nicobar_Islands,9,1989,7,4
Andhra_Pradesh,9,1989,267,182
Arunachal_Pradesh,9,1989,6,1
Bihar,9,1989,711,576
Chandigarh,9,1989,27,25
Dadra_&_Nagar_Haveli,9,1989,5,3
Daman_&_Diu,9,1989,5,2
Delhi,9,1989,237,222
Goa,9,1989,25,21
Gujarat,9,1989,261,209
Haryana,9,1989,323,303
Himachal_Pradesh,9,1989,33,25
Jammu_&_Kashmir,9,1989,63,54
Karnataka,9,1989,242,180
Kerala,9,1989,218,178
Lakshadweep,9,1989,2,0
Madhya_Pradesh,9,1989,490,404
Maharashtra,9,1989,593,487
Manipur,9,1989,13,8
Meghalaya,9,1989,6,2
Mizoram,9,1989,4,1
Nagaland,9,1989,2,0
Odisha,9,1989,132,90
Puducherry,9,1989,11,9
Punjab,9,1989,227,195
Rajasthan,9,1989,304,254
Sikkim,9,1989,4,2
Tamil_Nadu,9,1989,506,421
Tripura,9,1989,12,8
Uttar_Pradesh,9,1989,1087,885
West_Bengal,9,1989,336,251
Andaman_&_Nicobar_Islands,8,1984,6,4
Andhra_Pradesh,8,1984,299,213
Arunachal_Pradesh,8,1984,9,5
Assam,8,1984,106,75
Bihar,8,1984,676,561
Chandigarh,8,1984,33,31
Dadra_&_Nagar_Haveli,8,1984,4,2
Delhi,8,1984,189,176
"Goa,_Daman_&_Diu",8,1984,21,16
Gujarat,8,1984,229,176
Haryana,8,1984,200,180
Himachal_Pradesh,8,1984,31,24
Jammu_&_Kashmir,8,1984,48,35
Karnataka,8,1984,334,278
Kerala,8,1984,151,110
Lakshadweep,8,1984,2,0
Madhya_Pradesh,8,1984,398,316
Maharashtra,8,1984,498,399
Manipur,8,1984,14,9
Meghalaya,8,1984,8,4
Nagaland,8,1984,3,1
Odisha,8,1984,114,72
Puducherry,8,1984,10,8
Punjab,8,1984,74,44
Rajasthan,8,1984,313,258
Sikkim,8,1984,8,6
Tamil_Nadu,8,1984,214,136
Tripura,8,1984,10,6
Uttar_Pradesh,8,1984,1242,1073
West_Bengal,8,1984,248,164
Andaman_&_Nicobar_Islands,7,1980,10,7
Andhra_Pradesh,7,1980,271,183
Arunachal_Pradesh,7,1980,8,4
Assam,7,1980,7,2
Bihar,7,1980,594,457
Chandigarh,7,1980,39,37
Dadra_&_Nagar_Haveli,7,1980,4,2
Delhi,7,1980,168,153
"Goa,_Daman_&_Diu",7,1980,13,8
Gujarat,7,1980,169,115
Haryana,7,1980,137,108
Himachal_Pradesh,7,1980,29,21
Jammu_&_Kashmir,7,1980,29,17
Karnataka,7,1980,190,124
Kerala,7,1980,93,53
Lakshadweep,7,1980,3,1
Madhya_Pradesh,7,1980,359,275
Maharashtra,7,1980,415,311
Manipur,7,1980,15,10
Meghalaya,7,1980,4,3
Mizoram,7,1980,2,0
Nagaland,7,1980,2,0
Odisha,7,1980,110,66
Puducherry,7,1980,3,1
Punjab,7,1980,147,119
Rajasthan,7,1980,252,191
Sikkim,7,1980,7,5
Tamil_Nadu,7,1980,248,169
Tripura,7,1980,11,7
Uttar_Pradesh,7,1980,1005,768
West_Bengal,7,1980,285,200
Andaman_&_Nicobar_Islands,6,1977,2,0
Andhra_Pradesh,6,1977,165,78
Arunachal_Pradesh,6,1977,4,1
Assam,6,1977,40,12
Bihar,6,1977,340,239
Chandigarh,6,1977,10,8
Dadra_&_Nagar_Haveli,6,1977,3,0
Delhi,6,1977,41,27
"Goa,_Daman_&_Diu",6,1977,15,11
Gujarat,6,1977,112,60
Haryana,6,1977,50,33
Himachal_Pradesh,6,1977,14,6
Jammu_&_Kashmir,6,1977,29,17
Karnataka,6,1977,98,42
Kerala,6,1977,63,23
Lakshadweep,6,1977,2,0
Madhya_Pradesh,6,1977,152,72
Maharashtra,6,1977,211,113
Manipur,6,1977,11,8
Meghalaya,6,1977,7,1
Mizoram,6,1977,4,2
Nagaland,6,1977,2,0
Odisha,6,1977,61,19
Puducherry,6,1977,4,2
Punjab,6,1977,79,54
Rajasthan,6,1977,102,52
Sikkim,6,1977,1,0
Tamil_Nadu,6,1977,195,117
Tripura,6,1977,8,3
Uttar_Pradesh,6,1977,443,272
West_Bengal,6,1977,171,84
Andaman_&_Nicobar_Islands,5,1971,5,3
Andhra_Pradesh,5,1971,207,129
Assam,5,1971,78,55
Bihar,5,1971,421,299
Chandigarh,5,1971,11,9
Dadra_&_Nagar_Haveli,5,1971,3,0
Delhi,5,1971,64,51
"Goa,_Daman_&_Diu",5,1971,13,9
Gujarat,5,1971,118,69
Haryana,5,1971,63,45
Himachal_Pradesh,5,1971,20,15
Jammu_&_Kashmir,5,1971,32,20
Kerala,5,1971,67,29
Lakshadweep,5,1971,1,0
Madhya_Pradesh,5,1971,170,94
Maharashtra,5,1971,235,149
Manipur,5,1971,11,5
Mysore,5,1971,104,52
Nagaland,5,1971,2,0
Odisha,5,1971,85,32
Puducherry,5,1971,4,2
Punjab,5,1971,83,56
Rajasthan,5,1971,129,83
Tamil_Nadu,5,1971,111,33
Tripura,5,1971,9,4
Uttar_Pradesh,5,1971,543,364
West_Bengal,5,1971,195,100
Andaman_&_Nicobar_Islands,4,1967,6,4
Andhra_Pradesh,4,1967,164,70
Assam,4,1967,47,14
Bihar,4,1967,315,193
Chandigarh,4,1967,10,7
Dadra_&_Nagar_Haveli,4,1967,5,3
Delhi,4,1967,46,32
"Goa,_Daman_&_Diu",4,1967,16,12
Gujarat,4,1967,80,32
Haryana,4,1967,67,49
Himachal_Pradesh,4,1967,25,12
Jammu_&_Kashmir,4,1967,15,5
Kerala,4,1967,61,18
Lakshadweep,4,1967,5,2
Madhya_Pradesh,4,1967,174,100
Madras,4,1967,127,48
Maharashtra,4,1967,185,89
Manipur,4,1967,10,5
Mysore,4,1967,100,38
Nagaland,4,1967,1,0
Odisha,4,1967,65,17
Puducherry,4,1967,3,0
Punjab,4,1967,75,44
Rajasthan,4,1967,116,68
Tripura,4,1967,4,0
Uttar_Pradesh,4,1967,507,296
West_Bengal,4,1967,140,45
Andhra_Pradesh,3,1962,147,51
Assam,3,1962,41,12
Bihar,3,1962,233,108
Delhi,3,1962,28,17
Gujarat,3,1962,68,21
Himachal_Pradesh,3,1962,11,3
Kerala,3,1962,50,11
Madhya_Pradesh,3,1962,159,73
Madras,3,1962,152,56
Maharashtra,3,1962,168,69
Manipur,3,1962,11,7
Mysore,3,1962,88,33
Odisha,3,1962,49,10
Punjab,3,1962,107,58
Rajasthan,3,1962,111,60
Tripura,3,1962,7,3
Uttar_Pradesh,3,1962,443,234
West_Bengal,3,1962,112,30
