State_Name,Assembly_No,Year,Women_Percentage
Andaman_&_Nicobar_Islands,10,1991,0
Andhra_Pradesh,10,1991,4.76
Arunachal_Pradesh,10,1991,0
Assam,10,1991,7.14
Bihar,10,1991,5.77
Chandigarh,10,1991,0
Dadra_&_Nagar_Haveli,10,1991,0
Daman_&_Diu,10,1991,0
Delhi,10,1991,0
Goa,10,1991,0
Gujarat,10,1991,7.69
Haryana,10,1991,10
Himachal_Pradesh,10,1991,0
Karnataka,10,1991,10.71
Kerala,10,1991,10
Lakshadweep,10,1991,0
Madhya_Pradesh,10,1991,15
Maharashtra,10,1991,6.25
Manipur,10,1991,0
Meghalaya,10,1991,0
Mizoram,10,1991,0
Nagaland,10,1991,0
Odisha,10,1991,4.76
Puducherry,10,1991,0
Punjab,10,1991,15.38
Rajasthan,10,1991,16
Sikkim,10,1991,100
Tamil_Nadu,10,1991,7.69
Tripura,10,1991,50
Uttar_Pradesh,10,1991,3.57
West_Bengal,10,1991,9.52
Andaman_&_Nicobar_Islands,9,1989,0
Andhra_Pradesh,9,1989,11.9
Arunachal_Pradesh,9,1989,0
Bihar,9,1989,3.7
Chandigarh,9,1989,0
Dadra_&_Nagar_Haveli,9,1989,0
Daman_&_Diu,9,1989,0
Delhi,9,1989,0
Goa,9,1989,0
Gujarat,9,1989,0
Haryana,9,1989,0
Himachal_Pradesh,9,1989,0
Jammu_&_Kashmir,9,1989,0
Karnataka,9,1989,3.57
Kerala,9,1989,5
Lakshadweep,9,1989,0
Madhya_Pradesh,9,1989,10
Maharashtra,9,1989,4.17
Manipur,9,1989,0
Meghalaya,9,1989,0
Mizoram,9,1989,0
Nagaland,9,1989,0
Odisha,9,1989,4.76
Puducherry,9,1989,0
Punjab,9,1989,23.08
Rajasthan,9,1989,4
Sikkim,9,1989,0
Tamil_Nadu,9,1989,5.13
Tripura,9,1989,0
Uttar_Pradesh,9,1989,7.06
West_Bengal,9,1989,7.14
Andaman_&_Nicobar_Islands,8,1984,0
Andhra_Pradesh,8,1984,7.14
Arunachal_Pradesh,8,1984,0
Assam,8,1984,0
Bihar,8,1984,16.67
Chandigarh,8,1984,0
Dadra_&_Nagar_Haveli,8,1984,0
Delhi,8,1984,14.29
"Goa,_Daman_&_Diu",8,1984,0
Gujarat,8,1984,7.69
Haryana,8,1984,0
Himachal_Pradesh,8,1984,25
Jammu_&_Kashmir,8,1984,16.67
Karnataka,8,1984,7.14
Kerala,8,1984,0
Lakshadweep,8,1984,0
Madhya_Pradesh,8,1984,7.5
Maharashtra,8,1984,6.25
Manipur,8,1984,0
Meghalaya,8,1984,0
Nagaland,8,1984,0
Odisha,8,1984,4.76
Puducherry,8,1984,0
Punjab,8,1984,7.69
Rajasthan,8,1984,8
Sikkim,8,1984,0
Tamil_Nadu,8,1984,5.13
Tripura,8,1984,0
Uttar_Pradesh,8,1984,10.59
West_Bengal,8,1984,11.9
Andaman_&_Nicobar_Islands,7,1980,0
Andhra_Pradesh,7,1980,7.14
Arunachal_Pradesh,7,1980,0
Assam,7,1980,0
Bihar,7,1980,9.26
Chandigarh,7,1980,0
Dadra_&_Nagar_Haveli,7,1980,0
Delhi,7,1980,0
"Goa,_Daman_&_Diu",7,1980,50
Gujarat,7,1980,0
Haryana,7,1980,0
Himachal_Pradesh,7,1980,0
Jammu_&_Kashmir,7,1980,0
Karnataka,7,1980,0
Kerala,7,1980,5
Lakshadweep,7,1980,0
Madhya_Pradesh,7,1980,10
Maharashtra,7,1980,6.25
Manipur,7,1980,0
Meghalaya,7,1980,0
Mizoram,7,1980,0
Nagaland,7,1980,0
Odisha,7,1980,4.76
Puducherry,7,1980,0
Punjab,7,1980,15.38
Rajasthan,7,1980,4
Sikkim,7,1980,0
Tamil_Nadu,7,1980,0
Tripura,7,1980,0
Uttar_Pradesh,7,1980,8.24
West_Bengal,7,1980,4.76
Andaman_&_Nicobar_Islands,6,1977,0
Andhra_Pradesh,6,1977,2.38
Arunachal_Pradesh,6,1977,0
Assam,6,1977,14.29
Bihar,6,1977,0
Chandigarh,6,1977,0
Dadra_&_Nagar_Haveli,6,1977,0
Delhi,6,1977,0
"Goa,_Daman_&_Diu",6,1977,0
Gujarat,6,1977,3.85
Haryana,6,1977,10
Himachal_Pradesh,6,1977,0
Jammu_&_Kashmir,6,1977,33.33
Karnataka,6,1977,3.57
Kerala,6,1977,0
Lakshadweep,6,1977,0
Madhya_Pradesh,6,1977,0
Maharashtra,6,1977,6.25
Manipur,6,1977,0
Meghalaya,6,1977,0
Mizoram,6,1977,0
Nagaland,6,1977,100
Odisha,6,1977,0
Puducherry,6,1977,0
Punjab,6,1977,0
Rajasthan,6,1977,0
Sikkim,6,1977,0
Tamil_Nadu,6,1977,5.13
Tripura,6,1977,0
Uttar_Pradesh,6,1977,3.53
West_Bengal,6,1977,4.76
Andaman_&_Nicobar_Islands,5,1971,0
Andhra_Pradesh,5,1971,4.88
Assam,5,1971,14.29
Bihar,5,1971,1.89
Chandigarh,5,1971,0
Dadra_&_Nagar_Haveli,5,1971,0
Delhi,5,1971,28.57
"Goa,_Daman_&_Diu",5,1971,0
Gujarat,5,1971,0
Haryana,5,1971,0
Himachal_Pradesh,5,1971,0
Jammu_&_Kashmir,5,1971,0
Kerala,5,1971,5.26
Lakshadweep,5,1971,0
Madhya_Pradesh,5,1971,8.11
Maharashtra,5,1971,0
Manipur,5,1971,0
Mysore,5,1971,3.7
Nagaland,5,1971,0
Odisha,5,1971,5
Puducherry,5,1971,0
Punjab,5,1971,0
Rajasthan,5,1971,13.04
Tamil_Nadu,5,1971,2.56
Tripura,5,1971,0
Uttar_Pradesh,5,1971,9.41
West_Bengal,5,1971,5
Andaman_&_Nicobar_Islands,4,1967,0
Andhra_Pradesh,4,1967,7.32
Assam,4,1967,7.14
Bihar,4,1967,7.55
Chandigarh,4,1967,0
Dadra_&_Nagar_Haveli,4,1967,0
Delhi,4,1967,0
"Goa,_Daman_&_Diu",4,1967,0
Gujarat,4,1967,4.17
Haryana,4,1967,0
Himachal_Pradesh,4,1967,0
Jammu_&_Kashmir,4,1967,0
Kerala,4,1967,5.26
Lakshadweep,4,1967,0
Madhya_Pradesh,4,1967,13.51
Madras,4,1967,2.56
Maharashtra,4,1967,4.44
Manipur,4,1967,0
Mysore,4,1967,3.7
Nagaland,4,1967,0
Odisha,4,1967,0
Puducherry,4,1967,0
Punjab,4,1967,15.38
Rajasthan,4,1967,4.35
Tripura,4,1967,0
Uttar_Pradesh,4,1967,9.41
West_Bengal,4,1967,5
Andhra_Pradesh,3,1962,9.3
Assam,3,1962,16.67
Bihar,3,1962,15.09
Delhi,3,1962,0
Gujarat,3,1962,9.09
Himachal_Pradesh,3,1962,0
Kerala,3,1962,0
Madhya_Pradesh,3,1962,16.67
Madras,3,1962,7.32
Maharashtra,3,1962,2.27
Manipur,3,1962,0
Mysore,3,1962,3.85
Odisha,3,1962,0
Punjab,3,1962,0
Rajasthan,3,1962,4.55
Tripura,3,1962,0
Uttar_Pradesh,3,1962,6.98
West_Bengal,3,1962,5.56
